balance-scale,[0.84,0.84,0.832,0.808,0.784],[0.888,0.824,0.824,0.864,0.84],[0.824,0.792,0.776,0.8,0.792]
car,[0.942197,0.930636,0.904624,0.930636,0.924419],[0.950867,0.962428,0.962428,0.962428,0.965116],[0.962428,0.968208,0.959538,0.973988,0.982558]
monks1,[0.955357,0.982143,0.973214,0.982143,0.981481],[0.678571,0.982143,1.0,0.767857,0.851852],[0.892857,0.883929,0.973214,0.892857,0.861111]
monks2,[0.661157,0.77686,0.760331,0.85124,0.863248],[0.644628,0.92562,0.884298,0.92562,0.974359],[0.77686,0.933884,0.900826,0.867769,0.82906]
zoo,[0.952381,0.952381,0.952381,1.0,0.941176],[0.952381,0.952381,0.952381,1.0,0.941176],[1.0,0.952381,0.952381,1.0,0.941176]
breast-cancer,[0.741379,0.724138,0.758621,0.758621,0.796296],[0.689655,0.655172,0.741379,0.655172,0.703704],[0.672414,0.62069,0.724138,0.551724,0.759259]
primary-tumor,[0.352941,0.397059,0.5,0.308824,0.38806],[0.367647,0.441176,0.470588,0.323529,0.373134],[0.382353,0.455882,0.485294,0.323529,0.41791]
